SMBL,Country,$$,Er Date,RSI,ATR,P/S,Hist Move,Expt Move,Optn Vol,HIV,IV,IvRank,OI,Scr,Rank,Rank+,Er #
EBC,USA,0,2025-04-24,,,,8.736,12.101,23,29.18%,35.26%  (  -4.83%),38.32%,"1,904",7,4,4,80
PINS,USA,0,2025-04-29,,,,13.897,14.842,"7,407",50.79%,58.99%  (  +7.94%),70.22%,"466,477",9,5,5,88
AAL,USA,0,2025-04-24,,,,7.441,13.741,"48,349",49.67%,60.98%  (  +0.42%),99.33%,"2,820,117",6,4,4,70
SSNC,USA,0,2025-04-24,,,,5.817,8.547,2,19.75%,26.53%  (  -0.27%),76.23%,"7,063",8,5,5,78
FBIN,USA,0,2025-04-29,,,,6.701,10.831,2,27.90%,37.79%  (  +1.29%),72.41%,"1,081",5,4,4,68
FTAI,Cayman Islands,0,2025-04-24,,,,10.248,14.221,"1,110",82.42%,73.17%  (  +5.22%),49.34%,"100,265",5,5,5,68
STM,USA,0,2025-04-24,,,,9.184,14.425,960,53.88%,50.53%  (  +1.38%),89.34%,"161,333",5,4,4,62
MBLY,USA,0,2025-04-24,,,,14.445,14.856,"3,030",59.17%,72.16%  (  +4.23%),45.88%,"322,367",6,4,4,70
AVTR,USA,0,2025-04-25,,,,8.377,13.290,23,43.98%,44.80%  (  +1.18%),54.39%,"34,754",8,5,5,72
LYB,Netherlands,0,2025-04-25,,,,5.177,8.307,240,28.23%,29.77%  (  +0.90%),97.44%,"72,789",8,4,4,68
GNTX,USA,0,2025-04-25,,,,6.289,9.699,15,27.30%,32.81%  (  +2.98%),51.66%,"4,045",4,4,4,55
NVT,Ireland,0,2025-05-02,,,,9.189,0.000,106,40.27%,49.57%  (  +3.10%),72.34%,"31,525",6,5,5,80
PSX,USA,0,2025-04-25,,,,3.081,7.807,273,27.88%,33.01%  (  +2.03%),71.09%,"63,430",7,4,4,75
NUE,USA,0,2025-04-28,,,,5.085,9.928,"2,817",38.61%,41.76%  (  +2.35%),76.23%,"140,411",9,4,4,80
NXPI,Netherlands,0,2025-05-05,,,,6.447,0.000,552,46.57%,47.04%  (  +3.36%),92.20%,"41,138",5,5,5,60
CDNS,USA,0,2025-04-28,,,,8.015,11.618,330,40.21%,40.34%  (  +2.19%),62.34%,"43,841",8,5,5,78
AGNC,USA,0,2025-04-28,,,,4.125,6.064,"5,271",17.55%,25.27%  (  +1.42%),50.77%,"653,243",6,4,4,70
AXTA,Bermuda,0,2025-05-07,,,,6.128,0.000,1,28.29%,30.71%  (  -0.23%),56.63%,"3,513",5,4,5,90
SPOT,Luxembourg,0,2025-04-29,,,,10.172,15.716,"3,651",58.08%,63.12%  (  +8.07%),100.00%,"114,745",10,4,4,88
ECL,USA,0,2025-04-29,,,,6.662,6.600,15,13.77%,22.37%  (  +1.34%),62.12%,"9,891",5,4,5,82
XYL,USA,0,2025-04-29,,,,5.941,8.197,39,21.92%,29.74%  (  +2.44%),81.50%,"5,494",4,5,5,80
AZN,USA,0,2025-04-24,,,,4.852,5.183,"1,211",18.82%,28.19%  (  +3.00%),65.35%,"180,342",9,5,4,80
PFE,USA,0,2025-05-07,,,,4.412,0.000,"46,790",18.58%,27.65%  (  +1.37%),65.31%,"3,012,664",7,4,4,80
GM,USA,0,2025-04-29,,,,5.704,10.737,"20,658",44.42%,44.71%  (  +2.65%),87.48%,"821,248",4,4,4,82
GLW,USA,0,2025-04-29,,,,5.648,9.516,"4,229",31.35%,37.88%  (  +1.85%),89.05%,"285,692",9,4,5,85
BBVA,USA,0,2025-05-05,,,,10.556,0.000,275,32.16%,63.49%  (  +10.82%),40.28%,"4,267",8,4,4,88
CZR,USA,0,2025-04-29,,,,6.864,14.129,"7,113",44.23%,56.72%  (  -0.27%),65.54%,"237,449",7,5,5,60
KRG,USA,0,2025-04-29,,,,8.577,12.744,1,23.51%,34.73%  (  -0.28%),41.58%,311,9,4,4,70
V,USA,0,2025-04-22,,,,3.366,5.172,"8,590",20.88%,26.31%  (  +1.69%),82.23%,"248,737",8,5,5,92
UPS,USA,0,2025-04-29,,,,6.095,8.708,"5,225",24.11%,34.47%  (  +3.58%),79.43%,"343,889",6,4,4,80
GOOGL,USA,0,2025-04-24,,,,6.498,8.025,"117,835",31.35%,39.93%  (  +1.71%),100.00%,"2,723,438",8,4,4,85
WBD,USA,0,2025-05-08,,,,10.089,0.000,"3,322",50.55%,77.08%  (  +29.76%),99.42%,"849,190",9,4,4,75
MMM,USA,0,2025-04-29,,,,6.421,8.483,"1,273",29.02%,35.65%  (  +3.22%),77.95%,"215,178",7,4,4,75
ONB,USA,0,2025-04-22,,,,7.597,10.348,2,32.43%,36.37%  (  -0.81%),46.07%,"5,156",10,5,5,80
TER,USA,0,2025-04-23,,,,10.612,14.296,191,64.98%,50.06%  (  +2.85%),75.86%,"69,960",9,4,5,75
ST,UK,0,2025-05-05,,,,8.637,0.000,38,37.14%,43.53%  (  +1.89%),81.43%,"10,220",8,4,4,62
MSFT,USA,0,2025-04-24,,,,4.911,6.084,"102,673",24.09%,31.73%  (  +2.95%),83.43%,"1,937,933",10,5,5,85
SYF,USA,0,2025-04-23,,,,6.952,12.332,"3,125",34.68%,44.18%  (  +3.58%),76.19%,"52,795",9,4,5,65
ENTG,USA,0,2025-05-07,,,,10.167,0.000,47,44.86%,49.85%  (  +1.29%),70.33%,"7,785",6,5,5,78
FI,USA,0,2025-04-22,,,,4.678,6.732,167,26.29%,30.86%  (  +0.63%),85.08%,"37,775",6,5,5,85
GEHC,USA,0,2025-04-29,,,,6.499,7.708,"1,780",17.76%,32.46%  (  +4.41%),56.39%,"92,935",8,5,5,77
ARCC,USA,0,2025-05-07,,,,3.512,0.000,792,18.99%,19.28%  (  +1.52%),55.16%,"117,838",10,5,5,78
SHW,USA,0,2025-04-22,,,,6.201,8.254,25,20.76%,29.03%  (  +2.55%),87.25%,"18,813",4,4,4,78
WBS,USA,0,2025-04-22,,,,6.526,11.600,1,34.26%,39.67%  (  +1.30%),69.67%,"8,718",4,5,5,75
TRU,USA,0,2025-04-24,,,,9.198,12.698,5,38.63%,43.00%  (  +2.45%),79.43%,"9,273",8,4,4,82
HAL,USA,0,2025-04-22,,,,3.893,7.338,"2,444",28.79%,34.06%  (  -0.09%),57.56%,"433,723",7,5,5,75
GOOG,USA,0,2025-04-24,,,,6.490,7.772,"71,838",31.76%,39.99%  (  +2.81%),100.00%,"1,249,714",4,5,5,85
TENB,USA,0,2025-05-07,,,,10.853,0.000,2,25.71%,45.86%  (  +4.20%),58.07%,"1,778",5,4,4,80
